2026-09-24 04:42:12.777 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Backpack' from cart from inventory
2026-09-24 04:42:39.800 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via image thumbnail for: 'Sauce Labs Bike Light'
2026-09-24 04:42:55.786 [main] INFO  org.example.components.FooterComponent - Scrolling smoothly to global footer component
2026-09-24 04:42:56.149 [main] INFO  org.example.pages.inventory.InventoryPage - Scrolling back to top of catalog
2026-09-24 04:43:07.213 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'az'
2026-09-24 04:43:22.340 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'za'
2026-09-24 04:43:32.755 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'hilo'
2026-09-24 04:43:43.423 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 04:43:53.166 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 04:45:34.166 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 04:45:34.352 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:45:34.649 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 04:45:55.996 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:45:56.189 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:46:16.132 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 04:46:16.317 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 04:46:16.607 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:46:44.569 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Fleece Jacket'
2026-09-24 04:46:44.868 [main] INFO  org.example.pages.product.ProductDetailsPage - Hovering mouse cursor over product hero image
2026-09-24 04:46:45.509 [main] INFO  org.example.pages.product.ProductDetailsPage - Inspected hero image rendered viewport dimensions: 408x617 px
2026-09-24 04:46:59.461 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 04:47:11.063 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 04:47:19.995 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 04:47:20.325 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 04:47:20.464 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 04:47:35.591 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via image thumbnail for: 'Sauce Labs Onesie'
2026-09-24 05:10:31.365 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 05:10:31.877 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Backpack' from cart from inventory
2026-09-24 05:11:40.910 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via image thumbnail for: 'Sauce Labs Bike Light'
2026-09-24 05:12:13.648 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Onesie' to cart from inventory
2026-09-24 05:12:13.903 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Onesie' from cart from inventory
2026-09-24 05:12:14.083 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Onesie' to cart from inventory
2026-09-24 05:12:14.265 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Onesie' from cart from inventory
2026-09-24 05:12:14.407 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Onesie' to cart from inventory
2026-09-24 05:12:14.599 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Onesie' from cart from inventory
2026-09-24 05:12:27.931 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 05:12:28.128 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 05:12:28.301 [main] INFO  org.example.pages.inventory.InventoryPage - Triggering 'Reset App State' from burger menu
2026-09-24 05:12:50.126 [main] INFO  org.example.components.FooterComponent - Scrolling smoothly to global footer component
2026-09-24 05:12:50.495 [main] INFO  org.example.pages.inventory.InventoryPage - Scrolling back to top of catalog
2026-09-24 05:13:02.361 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 05:13:02.712 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 05:13:02.878 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bolt T-Shirt' to cart from inventory
2026-09-24 05:13:19.324 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'az'
2026-09-24 05:13:32.136 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'za'
2026-09-24 05:13:50.176 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'hilo'
2026-09-24 05:14:03.791 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 05:14:16.994 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 05:15:20.641 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 05:15:20.821 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 05:15:21.171 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 05:15:39.205 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 05:15:39.365 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:16:00.344 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 05:16:00.492 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 05:16:00.727 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:16:17.912 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 05:17:06.481 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Fleece Jacket'
2026-09-24 05:17:06.666 [main] INFO  org.example.pages.product.ProductDetailsPage - Hovering mouse cursor over product hero image
2026-09-24 05:17:06.963 [main] INFO  org.example.pages.product.ProductDetailsPage - Inspected hero image rendered viewport dimensions: 408x617 px
2026-09-24 05:17:18.564 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 05:17:31.916 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 05:17:41.456 [main] INFO  org.example.pages.inventory.InventoryPage - Selecting catalog sort option by value: 'lohi'
2026-09-24 05:17:41.693 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 05:17:41.831 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:18:58.028 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 05:18:58.172 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 05:18:58.478 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 05:19:10.419 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 05:19:10.677 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:19:24.502 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 05:19:24.641 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 05:19:25.406 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:33:25.620 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 05:33:26.861 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:33:46.734 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 05:50:43.109 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bike Light'
2026-09-24 05:50:43.536 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 05:50:43.798 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Remove' on Details Page
2026-09-24 05:51:40.075 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Bolt T-Shirt'
2026-09-24 05:51:40.445 [main] INFO  org.example.pages.product.ProductDetailsPage - Clicking 'Add to cart' on Details Page
2026-09-24 05:51:40.835 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:52:42.860 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Fleece Jacket'
2026-09-24 05:53:17.374 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 05:53:48.189 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Onesie'
2026-09-24 05:53:48.351 [main] INFO  org.example.pages.product.ProductDetailsPage - Navigating back to inventory catalog via '#back-to-products'
2026-09-24 05:54:13.095 [main] INFO  org.example.pages.inventory.InventoryPage - Navigating to product details via title: 'Sauce Labs Backpack'
2026-09-24 06:08:33.122 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:08:33.744 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 06:08:33.876 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bolt T-Shirt' to cart from inventory
2026-09-24 06:09:05.418 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:09:29.555 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:10:00.395 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Fleece Jacket' to cart from inventory
2026-09-24 06:10:00.569 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Fleece Jacket' from cart from inventory
2026-09-24 06:10:18.385 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:10:18.519 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 06:10:18.786 [main] INFO  org.example.pages.cart.CartPage - Removing item from cart inside Cart view: 'Sauce Labs Backpack'
2026-09-24 06:10:36.118 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:10:36.247 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 06:10:36.434 [main] INFO  org.example.pages.inventory.InventoryPage - Triggering 'Reset App State' from burger menu
2026-09-24 06:11:01.021 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:11:01.269 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 06:11:01.461 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Onesie' to cart from inventory
2026-09-24 06:11:15.068 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:11:15.240 [main] INFO  org.example.pages.inventory.InventoryPage - Removing 'Sauce Labs Backpack' from cart from inventory
2026-09-24 06:27:23.543 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:27:23.868 [main] INFO  org.example.pages.cart.CartPage - Clicking 'Checkout' to begin checkout workflow
2026-09-24 06:27:48.779 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:27:49.593 [main] INFO  org.example.pages.cart.CartPage - Clicking 'Checkout' to begin checkout workflow
2026-09-24 06:27:50.516 [main] INFO  org.example.pages.checkout.CheckoutStepOnePage - Submitting customer information and continuing to Step Two
2026-09-24 06:27:51.237 [main] INFO  org.example.pages.checkout.CheckoutStepTwoPage - Clicking 'Finish' to complete order
2026-09-24 06:28:06.738 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Backpack' to cart from inventory
2026-09-24 06:28:06.839 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Bike Light' to cart from inventory
2026-09-24 06:28:06.935 [main] INFO  org.example.pages.inventory.InventoryPage - Adding 'Sauce Labs Fleece Jacket' to cart from inventory
